timestamp,frame_id,total_ms,fm_prep_ms,fm_2d_match_ms,fm_corres_ms,fm_ransac_ms,bundle_adjust_ms,others_ms,nerf_ms,nerf_n_frames,nerf_ms_per_frame
1765857845.218312,1668813025193228911,256.9,1.1,238.3,0.2,2.1,3.7,11.6,n/a,n/a,n/a
1765857845.4829328,1668813025227678812,48.3,2.1,26.6,0.3,1.1,4.3,13.9,n/a,n/a,n/a
1765857845.5385149,1668813025259652117,45.5,2.1,26.5,0.3,1.4,3.2,12.0,n/a,n/a,n/a
1765857845.5910249,1668813025296211926,46.5,2.2,25.9,0.3,1.2,4.0,13.0,n/a,n/a,n/a
1765857845.6445534,1668813025326464994,47.1,2.1,28.6,0.3,1.2,3.5,11.5,n/a,n/a,n/a
1765857845.6988792,1668813025354360393,47.4,2.1,26.9,0.3,1.1,3.4,13.6,n/a,n/a,n/a
1765857845.7532187,1668813025391184312,45.6,2.1,25.2,0.3,1.0,4.5,12.6,n/a,n/a,n/a
1765857845.8059487,1668813025424876136,53.8,2.3,32.1,0.3,1.2,3.4,14.5,n/a,n/a,n/a
1765857845.8666592,1668813025461047708,46.9,2.2,27.6,0.3,1.1,3.4,12.3,n/a,n/a,n/a
1765857845.9204931,1668813025492468569,46.8,2.2,27.6,0.3,1.5,3.9,11.3,n/a,n/a,n/a
1765857845.9742754,1668813025529472603,48.8,2.1,29.6,0.3,1.3,3.6,12.0,n/a,n/a,n/a
1765857846.0300708,1668813025557519987,54.5,2.8,33.6,0.3,1.1,3.5,13.1,n/a,n/a,n/a
1765857846.091552,1668813025590519709,48.4,2.0,30.2,0.3,1.3,3.5,11.2,n/a,n/a,n/a
1765857846.1469586,1668813025620944298,49.1,2.0,29.8,0.3,1.0,3.7,12.2,n/a,n/a,n/a
1765857846.2028782,1668813025654561214,47.1,2.1,29.5,0.3,1.1,5.0,9.2,n/a,n/a,n/a
1765857846.2570136,1668813025689046001,44.2,2.0,25.8,0.3,1.4,3.6,11.1,n/a,n/a,n/a
1765857846.3086183,1668813025722252070,49.3,2.1,29.9,0.3,2.8,4.1,10.1,n/a,n/a,n/a
1765857846.3647401,1668813025756375524,43.2,2.1,26.4,0.3,1.1,3.6,9.7,n/a,n/a,n/a
1765857846.4150438,1668813025789525593,43.1,2.1,26.6,0.3,1.2,3.4,9.5,n/a,n/a,n/a
1765857846.4651525,1668813025820819951,46.0,2.1,29.0,0.3,1.2,3.4,10.1,n/a,n/a,n/a
1765857846.518108,1668813025864270674,49.8,2.1,31.1,0.3,1.0,3.3,12.0,n/a,n/a,n/a
1765857846.5752115,1668813025900121295,43.3,2.1,26.0,0.3,1.6,3.5,9.8,n/a,n/a,n/a
1765857846.6254847,1668813025931515243,47.9,2.1,30.3,0.3,1.3,3.5,10.4,n/a,n/a,n/a
1765857846.680384,1668813025958133880,45.0,2.0,26.5,0.3,1.1,5.1,10.1,n/a,n/a,n/a
1765857846.732752,1668813025990457768,45.0,2.1,28.4,0.3,1.1,3.7,9.4,n/a,n/a,n/a
1765857846.7851787,1668813026028711133,50.3,2.1,34.4,0.3,1.1,3.6,8.8,n/a,n/a,n/a
1765857846.8423772,1668813026066499847,43.2,2.1,26.6,0.3,1.2,3.3,9.7,n/a,n/a,n/a
1765857846.89261,1668813026098107959,51.8,2.1,30.8,0.3,2.3,5.2,11.2,n/a,n/a,n/a
1765857846.951469,1668813026130905746,45.1,2.1,28.2,0.3,1.1,3.5,10.0,n/a,n/a,n/a
1765857847.0034964,1668813026167203694,48.0,2.2,30.2,0.3,1.1,3.4,10.8,n/a,n/a,n/a
1765857847.0585263,1668813026199526221,47.4,2.1,28.2,0.3,1.3,4.5,11.1,n/a,n/a,n/a
1765857847.113554,1668813026231758209,47.5,2.1,30.3,0.3,1.1,3.3,10.4,n/a,n/a,n/a
1765857847.1682658,1668813026265767806,43.5,2.1,27.5,0.3,1.1,3.5,9.1,n/a,n/a,n/a
1765857847.2188756,1668813026300267254,43.9,2.1,28.0,0.3,1.1,3.4,9.0,n/a,n/a,n/a
1765857847.2699456,1668813026332678859,49.0,2.1,32.8,0.3,1.1,3.7,9.0,n/a,n/a,n/a
1765857847.3259478,1668813026366050812,44.0,2.1,27.5,0.3,1.2,3.5,9.5,n/a,n/a,n/a
1765857847.3770692,1668813026401191346,44.6,2.1,27.5,0.3,1.6,3.5,9.6,n/a,n/a,n/a
1765857847.4286706,1668813026432158428,42.9,2.1,26.3,0.3,1.2,3.9,9.1,n/a,n/a,n/a
1765857847.4785485,1668813026462599129,44.2,2.1,27.8,0.3,1.3,3.4,9.2,n/a,n/a,n/a
1765857847.5297017,1668813026498764232,44.8,2.1,28.2,0.3,1.7,3.5,9.0,n/a,n/a,n/a
1765857847.5816333,1668813026527879045,43.7,2.1,27.5,0.3,1.2,3.3,9.2,n/a,n/a,n/a
1765857847.6324644,1668813026560992403,47.2,2.0,30.5,0.3,1.7,3.5,9.2,n/a,n/a,n/a
1765857847.6867065,1668813026598298594,46.1,2.1,28.4,0.3,1.1,4.2,10.1,n/a,n/a,n/a
1765857847.740126,1668813026624662762,43.5,2.1,25.6,0.3,1.4,4.3,9.9,n/a,n/a,n/a
1765857847.7909763,1668813026658110754,43.3,2.0,26.3,0.3,2.1,3.3,9.3,n/a,n/a,n/a
1765857847.8415658,1668813026691397808,44.0,2.0,27.8,0.3,1.0,3.6,9.2,n/a,n/a,n/a
1765857847.892677,1668813026722800533,45.3,2.1,27.2,0.3,1.2,4.0,10.5,n/a,n/a,n/a
1765857847.9451318,1668813026755950519,43.6,2.1,27.0,0.3,1.1,4.0,9.0,n/a,n/a,n/a
1765857847.9959064,1668813026793719135,43.2,2.0,26.9,0.3,1.1,3.7,9.2,n/a,n/a,n/a
1765857848.0463722,1668813026832938850,44.8,2.0,26.4,0.3,1.1,4.7,10.3,n/a,n/a,n/a
1765857848.1507561,1668813026894721414,48.1,2.0,26.9,0.3,2.0,7.4,9.4,n/a,n/a,n/a
1765857848.2060974,1668813026934736321,69.2,3.0,43.2,0.4,1.5,7.4,13.7,n/a,n/a,n/a
1765857848.282451,1668813026964744068,59.1,3.2,38.2,0.5,1.6,6.3,9.5,n/a,n/a,n/a
1765857848.3484986,1668813026993619358,55.6,3.1,33.9,0.4,1.6,6.1,10.4,n/a,n/a,n/a
1765857848.4109652,1668813027032152930,55.6,3.0,34.9,0.4,1.5,6.7,9.0,n/a,n/a,n/a
1765857848.4735177,1668813027060098272,57.2,3.1,35.3,0.4,1.6,6.3,10.4,n/a,n/a,n/a
1765857848.537744,1668813027091820644,60.3,3.1,39.8,0.4,1.4,6.3,9.3,n/a,n/a,n/a
1765857848.605045,1668813027131141139,66.4,3.1,37.1,0.5,4.7,7.6,13.3,n/a,n/a,n/a
1765857848.678799,1668813027161665863,61.5,3.4,39.8,0.5,1.6,6.0,10.4,n/a,n/a,n/a
1765857848.7474678,1668813027193342659,66.6,3.1,42.4,0.4,1.9,9.1,9.7,n/a,n/a,n/a
1765857848.8218722,1668813027229421433,65.8,3.0,39.7,0.4,1.5,6.6,14.6,n/a,n/a,n/a
1765857848.894698,1668813027261376474,60.1,3.1,38.8,0.5,1.5,6.4,9.8,n/a,n/a,n/a
1765857848.961757,1668813027296864138,57.0,3.1,35.9,0.4,1.4,6.8,9.4,n/a,n/a,n/a
1765857849.0258844,1668813027327376323,55.7,3.1,33.6,0.4,1.5,6.6,10.5,n/a,n/a,n/a
1765857849.0886188,1668813027368054120,66.3,3.1,44.2,0.4,1.5,6.4,10.7,n/a,n/a,n/a
1765857849.162026,1668813027405089654,57.4,3.1,36.4,0.4,1.5,6.2,9.8,n/a,n/a,n/a
1765857849.2265408,1668813027426669857,60.9,4.0,35.6,0.5,3.0,6.1,11.8,n/a,n/a,n/a
1765857849.2944229,1668813027465048808,57.8,3.1,34.7,0.5,1.4,6.7,11.5,n/a,n/a,n/a
