timestamp,frame_id,total_ms,feat_match_ms,bundle_adjust_ms,nerf_ms,nerf_n_frames,nerf_ms_per_frame
1764947660.4148173,1668813025193228911,347.1,340.8,6.3,n/a,n/a,n/a
1764947660.8096275,1668813025227678812,95.2,89.8,5.4,n/a,n/a,n/a
1764947660.952085,1668813025259652117,88.9,83.7,5.2,n/a,n/a,n/a
1764947661.0869555,1668813025296211926,89.5,84.0,5.4,n/a,n/a,n/a
1764947661.2226944,1668813025326464994,88.9,83.6,5.3,n/a,n/a,n/a
1764947661.3578804,1668813025354360393,89.5,84.1,5.5,n/a,n/a,n/a
1764947661.493345,1668813025391184312,89.9,84.4,5.5,n/a,n/a,n/a
1764947661.629747,1668813025424876136,88.9,83.7,5.2,n/a,n/a,n/a
1764947661.764147,1668813025461047708,89.9,84.5,5.4,n/a,n/a,n/a
1764947661.8989494,1668813025492468569,88.6,83.6,5.0,n/a,n/a,n/a
1764947662.0329704,1668813025529472603,87.9,82.9,5.0,n/a,n/a,n/a
1764947662.1665945,1668813025557519987,90.1,84.6,5.5,n/a,n/a,n/a
1764947662.302499,1668813025590519709,90.5,85.1,5.5,n/a,n/a,n/a
1764947662.4391615,1668813025620944298,91.3,85.5,5.8,n/a,n/a,n/a
1764947662.5738328,1668813025654561214,88.9,83.7,5.2,n/a,n/a,n/a
1764947662.706153,1668813025689046001,88.3,83.4,5.0,n/a,n/a,n/a
1764947662.8376663,1668813025722252070,89.5,84.0,5.5,n/a,n/a,n/a
1764947662.970735,1668813025756375524,89.5,84.1,5.4,n/a,n/a,n/a
1764947663.1038904,1668813025789525593,90.1,84.7,5.3,n/a,n/a,n/a
1764947663.237266,1668813025820819951,89.7,84.3,5.4,n/a,n/a,n/a
1764947663.3707407,1668813025864270674,88.8,83.6,5.2,n/a,n/a,n/a
1764947663.5036092,1668813025900121295,89.8,84.3,5.5,n/a,n/a,n/a
1764947663.637321,1668813025931515243,90.4,84.7,5.7,n/a,n/a,n/a
1764947663.7715914,1668813025958133880,89.3,83.9,5.4,n/a,n/a,n/a
1764947663.9045103,1668813025990457768,90.3,84.6,5.6,n/a,n/a,n/a
1764947664.038639,1668813026028711133,90.3,84.8,5.5,n/a,n/a,n/a
1764947664.1723242,1668813026066499847,89.0,83.9,5.2,n/a,n/a,n/a
1764947664.3051605,1668813026098107959,89.9,84.5,5.4,n/a,n/a,n/a
1764947664.4407876,1668813026130905746,89.9,84.5,5.5,n/a,n/a,n/a
1764947664.5754063,1668813026167203694,89.9,84.4,5.5,n/a,n/a,n/a
1764947664.7089553,1668813026199526221,88.8,83.6,5.2,n/a,n/a,n/a
1764947664.8411076,1668813026231758209,89.4,84.4,5.0,n/a,n/a,n/a
1764947664.9741273,1668813026265767806,89.6,84.2,5.4,n/a,n/a,n/a
1764947665.1074197,1668813026300267254,88.5,83.3,5.2,n/a,n/a,n/a
1764947665.2393627,1668813026332678859,90.5,84.6,5.8,n/a,n/a,n/a
1764947665.3732185,1668813026366050812,88.5,83.3,5.2,n/a,n/a,n/a
1764947665.5054848,1668813026401191346,89.1,84.0,5.1,n/a,n/a,n/a
1764947665.6381745,1668813026432158428,88.5,83.5,5.0,n/a,n/a,n/a
1764947665.7697973,1668813026462599129,88.2,83.0,5.2,n/a,n/a,n/a
1764947665.9009624,1668813026498764232,88.9,83.6,5.4,n/a,n/a,n/a
1764947666.0330691,1668813026527879045,87.9,83.0,4.9,n/a,n/a,n/a
1764947666.1650345,1668813026560992403,89.6,84.4,5.2,n/a,n/a,n/a
1764947666.2982621,1668813026598298594,90.3,84.7,5.7,n/a,n/a,n/a
1764947666.4322348,1668813026624662762,88.1,82.7,5.4,n/a,n/a,n/a
1764947666.5643518,1668813026658110754,89.5,84.1,5.4,n/a,n/a,n/a
1764947666.6979918,1668813026691397808,89.8,84.3,5.5,n/a,n/a,n/a
1764947666.831605,1668813026722800533,89.9,84.5,5.4,n/a,n/a,n/a
1764947666.9657388,1668813026755950519,89.9,84.6,5.3,n/a,n/a,n/a
1764947667.09978,1668813026793719135,90.5,85.3,5.2,n/a,n/a,n/a
1764947667.2345588,1668813026832938850,88.8,83.6,5.2,n/a,n/a,n/a
1764947667.504667,1668813026894721414,95.4,84.2,11.2,n/a,n/a,n/a
1764947667.646471,1668813026934736321,132.3,121.0,11.3,n/a,n/a,n/a
1764947667.825122,1668813026964744068,121.1,109.9,11.2,n/a,n/a,n/a
1764947667.9903252,1668813026993619358,121.4,110.5,10.9,n/a,n/a,n/a
1764947668.1562855,1668813027032152930,122.4,111.8,10.6,n/a,n/a,n/a
1764947668.3233776,1668813027060098272,123.3,112.4,11.0,n/a,n/a,n/a
1764947668.49164,1668813027091820644,122.5,112.1,10.4,n/a,n/a,n/a
1764947668.6586583,1668813027131141139,121.9,111.7,10.2,n/a,n/a,n/a
1764947668.8259356,1668813027161665863,122.1,111.4,10.7,n/a,n/a,n/a
1764947668.9936876,1668813027193342659,122.7,112.0,10.7,n/a,n/a,n/a
1764947669.1614752,1668813027229421433,123.0,111.9,11.0,n/a,n/a,n/a
1764947669.3299108,1668813027261376474,122.5,112.0,10.5,n/a,n/a,n/a
1764947669.4974275,1668813027296864138,122.5,111.9,10.6,n/a,n/a,n/a
1764947669.6652741,1668813027327376323,123.4,112.4,11.0,n/a,n/a,n/a
1764947669.8339903,1668813027368054120,123.7,113.3,10.4,n/a,n/a,n/a
1764947670.0030494,1668813027405089654,122.0,111.4,10.5,n/a,n/a,n/a
1764947670.1699517,1668813027426669857,122.3,112.1,10.3,n/a,n/a,n/a
1764947670.3375604,1668813027465048808,122.5,111.8,10.6,n/a,n/a,n/a
1764947670.5053267,1668813027494339162,120.7,110.1,10.6,n/a,n/a,n/a
1764947670.6707525,1668813027528113494,122.9,112.4,10.5,n/a,n/a,n/a
1764947670.8390107,1668813027574317081,121.3,111.2,10.1,n/a,n/a,n/a
1764947671.0057995,1668813027600683548,123.4,112.4,11.0,n/a,n/a,n/a
